title,year,url,authors,abstract
Everyone is Responsible for Everything: Corequisites and the First-Year Seminar,2020,https://www.semanticscholar.org/paper/007ebceccf5781bd879687814ce7c2935b206df4,Nadya Pittendrigh; Eric C. Camarillo; Sara Thurmond,"The University of Houston-Victoria (U of H-V) is a small, public Hispanic Serving Institution in southeast Texas. Originally established as a teaching center for upper division and graduate students in 1974, U of H-V achieved “downward expansion” in 2010, a term used to refer to the expansion of the university s offerings to include freshmen and sophomores at the university. This expansion also reconfigured the student body, making it more urban, young, and diverse. As an example, in the fall of 2018, U of H-V enrolled 3,237 undergraduate students, 42 of whom identified as Hispanic, with 32 representing the first generation in their family to attend college. This student population increasingly re ects the demographics of the local area, where the population is over 50 minority, and approximately 50 Hispanic. In addition to diversifying the student body, downward expansion also resulted in enrolling more students who need extra support in order to succeed in a college environment, particularly in first-year math and English courses. Our institution s most recent efforts to provide this support forms the basis of this article, namely the unique version of corequisite support that emerged at our institution, as an organic outgrowth of our specific history, combined with a statewide mandate to create corequisites. Certainly, as we explain, the passage of state legislation helped provide the impetus for our move toward corequisites. Yet we were also motivated to re-assess our developmental curriculum, even without the new legislation, based on our own frustrations with the previous iteration of developmental classes. We knew (and know) our students need help with ge ng through their gateway courses but also finding an effective form for that assistance has been a challenge. We will brie y describe our previous efforts at providing that support before explicating our rationale for the current program. As we discuss in more detail in the course of this article, our response to the recent mandate to create a corequisite combined the purpose of the corequisite with our institution s first-year seminar; we created a few special sections of the first-year seminar designed especially for students designated as TSI-incomplete in one or more subject areas, each section of which supports a specific gateway course. Our idea was that the mission of the first-year seminar, to orient students to life at the university, could itself be advanced by making it more academic for these students, or more clearly contextualized with explicit links to academic work. In order to achieve this, we believed that corequisite remediation could be meaningfully accomplished in the first-year seminar. To achieve this mashup of the first-year seminar and corequisite, we initiated an otherwise unlooked-for collaboration between academic faculty and student support services staff, and we found that this cross-pollination between divisions of our institution also offered another payoff: it had the potential to extend and strengthen institutional safety-nets meant to support students underprepared for college. We find that remediation for underprepared students happens not only in academic content classes, but as part of a larger pedagogical ecology, or as one researcher describes it, a constellation of people, programs, initiatives, opportunities, constraints, and cultures that emerge and interact within a specific university context (Schoen, 2019, p. 38). Based on preliminary findings ABSTRACT"
Guts of the Urban Ecosystem: Microbial Ecology of Sewer Infrastructure,2022,https://www.semanticscholar.org/paper/008c85ad39722e8dad95951dbd577d079955772d,A. Roguet; Ryan J. Newton; A. M. Eren; S. McLellan,"Sewer infrastructure is a relatively new habitat comprised of thousands of kilometers of pipes beneath cities. These wastewater conveyance systems contain large reservoirs of microbial biomass with a wide range of metabolic potential and are significant reservoirs of antibiotic resistant organisms; however, we lack an adequate understanding of the ecology or activity of these communities beyond wastewater treatment plants. ABSTRACT Microbes have inhabited the oceans and soils for millions of years and are uniquely adapted to their habitat. In contrast, sewer infrastructure in modern cities dates back only ~150 years. Sewer pipes transport human waste and provide a view into public health, but the resident organisms that likely modulate these features are relatively unexplored. Here, we show that the bacterial assemblages sequenced from untreated wastewater in 71 U.S. cities were highly coherent at a fine sequence level, suggesting that urban infrastructure separated by great spatial distances can give rise to strikingly similar communities. Within the overall microbial community structure, temperature had a discernible impact on the distribution patterns of closely related amplicon sequence variants, resulting in warm and cold ecotypes. Two bacterial genera were dominant in most cities regardless of their size or geographic location; on average, Arcobacter accounted for 11% and Acinetobacter 10% of the entire community. Metagenomic analysis of six cities revealed these highly abundant resident organisms carry clinically important antibiotic resistant genes blaCTX-M, blaOXA, and blaTEM. In contrast, human fecal bacteria account for only ~13% of the community; therefore, antibiotic resistance gene inputs from human sources to the sewer system could be comparatively small, which will impact measurement capabilities when monitoring human populations using wastewater. With growing awareness of the metabolic potential of microbes within these vast networks of pipes and the ability to examine the health of human populations, it is timely to increase our understanding of the ecology of these systems. IMPORTANCE Sewer infrastructure is a relatively new habitat comprised of thousands of kilometers of pipes beneath cities. These wastewater conveyance systems contain large reservoirs of microbial biomass with a wide range of metabolic potential and are significant reservoirs of antibiotic resistant organisms; however, we lack an adequate understanding of the ecology or activity of these communities beyond wastewater treatment plants. The striking coherence of the sewer microbiome across the United States demonstrates that the sewer environment is highly selective for a particular microbial community composition. Therefore, results from more in-depth studies or proven engineering controls in one system could be extrapolated more broadly. Understanding the complex ecology of sewer infrastructure is critical for not only improving our ability to treat human waste and increasing the sustainability of our cities but also to create scalable and effective sewage microbial observatories, which are inevitable investments of the future to monitor health in human populations."
"Patches, Corridors, Matrix, Webs and Clouds. Expanding Richard TT Forman’s Land Mosaic Approach in the Medina of Tunis",2024,https://www.semanticscholar.org/paper/008fa300dfcd1919382cae7c56d1c434c8dc627d,Gareth Doherty; Areti Kotsoni,"This study proposes a framework for analyzing the medina of Tunis, based on Richard T.T. Forman's theory of land mosaics. Departing from traditional preservationist methods, it views the Medina as a multifaceted landscape, integrating both tangible and intangible elements. Drawing from Félix Guattari’s concept of the three ecologies, the paper expands upon Forman’s model by introducing two additional categories: webs and clouds, to encompass the social and subjective aspects of the landscape. Through a literature review and landscape fieldwork, the study advocates for an integrative approach to analyzing the medina's physical and intangible components. The resulting framework offers a landscape analysis tool applicable to other urban landscapes, moving beyond the taxidermy of urban/cultural conservation practices and considering marginalized communities affected by capitalism-driven heritage management and tourism. Such a perspective is integral in promoting social and ecological inclusivity and embedding sustainable practices, particularly in response to the pressing challenges of climate change. Ultimately, this approach would help the contemporary landscape project succeed in “grounding new narratives and topologies” of “re-signification” of other historic urban areas and medinas across North Africa."
"Innovative Pedagogy Through Big Data and ArcGIS: Perspectives on the Collaboration Among First-Generation Students, Nonprofits, and Open Data in Los Angeles",2024,https://www.semanticscholar.org/paper/0092a211f662cdcc9a571e0da595c81882b6f8aa,Luis Nuño; Dawn Dennis; Jessica Bodoh-Creed,"This article focuses on the innovative teaching practices using big data that arose from a 4-year collaboration between faculty, first-generation students at California State University, Los Angeles (CSULA), and local communities. The aim of the National Science Foundation–funded Big Data Project at CSULA was to engage students and faculty in using big data to tackle social issues such as racial violence, poverty, environmental inequalities, urban ecology, and structural barriers in Los Angeles, while preserving the cultural richness of the communities in East Los Angeles and surrounding areas. Once a year, faculty members applied to the program to incorporate data projects into their courses, received training, adapted their curricula, and worked with nonprofits. Our experience showed that the students who participated in this semester-long, hands-on learning experience exceeded the learning objectives of the program and specific courses. They were key contributors in generating new insights using big data, fostering meaningful dialogue, and creating research and scholarship opportunities that positively impacted their communities."
Wildfires in Australia: a bibliometric analysis and a glimpse on ‘Black Summer’ (2019/2020) disaster,2023,https://www.semanticscholar.org/paper/00935188ebe096c2932594544910a2bff0e6012c,K. Haque; M. Uddin; J. Ampah; Md. Kamrul Haque; M. Hossen; Md Rokonuzzaman; M. Y. Hossain; Md. Rejwanul Hossain; M. Rahman,"A wildfire, an unplanned fire that is mainly uncontrolled and originates in combustible vegetation in rural or urban settings, is one of the most pervasive natural catastrophes in some areas, such as Siberia, California and Australia. Many studies, such as standard reviews, have been undertaken to look into the works of literature on wildfires or forest fires and their effects on aquatic and terrestrial ecosystems. Regrettably, conventional literature reviews failed to identify the important researchers, evolving complexities, emerging research hotspots, trends and opportunities for further research on the ground of wildfire study. The present study employs bibliometric analysis to investigate this study area qualitatively and quantitatively. The Scopus database systems and Web of Science Core Collection yielded 78 qualifying papers, which were then evaluated using Biblioshiny (A bibliometrix tool of R-studio). According to the statistics, the discipline is expanding at a pace that is 13.68% faster than average. So far, three key periods of transformation have been documented: preliminary evolution (8 articles; 1999–2005), gentle evolution (14 articles; 2006–2013) and quick evolution (56 articles; 2014 to 2021). Forest Ecology and Management and Science journals have the highest number of publications, accounting for 7.70% of total wildfire-related articles published from 1999 to 2021. However, recent data indicate that investigators are shifting their focus to wildfires, with the term ‘Australia’ having the highest frequency (91) and ‘wildfire’ having the second highest (58) as the most appeared keywords. The present study will provide a foundation for future research on wildfire incidence and management by receiving information by synthesising previously published literature in Australia and around the world."
"Trends in Urban Rodent Monitoring and Mitigation: Improving Our Understanding of Population and Disease Ecology, Surveillance and Control",2020,https://www.semanticscholar.org/paper/00bf11200cb979de65722cc4428942d1c74216a5,,
Modeling of Deaf Facades in the Design of the Facades of Buildings with the Index to Renewable Energy Generation,2023,https://www.semanticscholar.org/paper/00d629e627b279c4b2d6342049a97868e5d80de1,Beyza Çok,"The concept of sustainability that emerged and influenced architecture has created serious environmental problems. In this study, the reasons for the use of solar energy in passive systems and the importance of passive systems in sustainable buildings are discussed. Furthermore, the construction of integrated models with passive systems was evaluated using a computer program. This study consists of eight chapters. Explain the purpose, the question and the necessity of the research. Assess why and why sustainability, its methods and alternative energy sources emerged. Exposes the design parameters of sustainable buildings, urban planning, ecology, intelligence, zero energy consumption, energy saving buildings and other types. Methods for harnessing solar energy in buildings, called active and passive systems, and their related types, discusses solar energy in buildings under several headings. The use of passive solar energy in buildings, the design parameters of buildings and spaces and the precautions or steps to be considered in different situations. Integrating the house and greenhouse as a simulation study and evaluating the efficiency of the system through a computer program, presenting the changes in tables and graphs. Conclusions and recommendations for evaluation."
Global trends in urban wildlife ecology and conservation,2021,https://www.semanticscholar.org/paper/00d680962ae673bab8644887e981d732c437a46b,Merri K. Collins; S. Magle; T. Gallo,
Sounding Out Normative and Colour-Blind Listening in Acoustic Ecology,2022,https://www.semanticscholar.org/paper/00f3d00cc80d01f6e1dc2e52d47d115e58ed40d6,Nimalan Yoganathan,"Background: The field of acoustic ecology emerged from Simon Fraser University in the late 1960s during which time R. Murray Schafer and the World Soundscape Project studied everyday soundscapes and the rise of urban noise. While it was an innovative approach to understanding the relationship between humans and their environments, it reproduced the dominant frameworks of this period. Analysis: This article argues that contemporary acoustic ecology discourse continues to frame noise, silence, and urban acoustic design through a white normative and colour-blind listening framework. This article examines dominant authorship and citation practices within leading journals that publish soundscape literature as well as sound mapping practices. Conclusion: After also surveying seldom-cited soundscape research that interrogates the environmental listening and sound-making practices of BIPOC and marginalized communities, the article concludes that there is a need for contemporary soundscape research to incorporate more intersectional and decolonial modes of environmental listening."
Frontier Analysis of Resilience Research in Design Ecology,2022,https://www.semanticscholar.org/paper/010fb793ad81859fc252f3d9fe20ed6dbba749f8,X. Pan,"The epidemic has once again made urban resilience a core argument for responding urban crises while ensuring urban safety. As an important research field of design ecology, resilience make contributes to build a healthier and sustainable city, which urgently need further research and development. This paper takes 11896 literature retrieved from the Web of Science TM core collection database and 629 literature retrieved from CNKI from 2006 to 2021 as the research object. Using CiteSpace scientific knowledge visualization software, combined with literature content analysis and interpretation, this paper sorts out the general situation of its development then identifies research hot spot and frontier. Results show that:(1)the previous studies mainly focus on resilient cities, sponge cities, stormwater management, resilient landscapes, sustainable design and blue-green infrastructure; (2) the frontier of resilience research in design ecology is: climate change, community resilience, disaster response, risk assessment, etc. In addition, compared with foreign scientific research orientation, domestic research mainly focuses on practical applications in planning and design, lacking systematic theoretical and technical research support. In conclusion, points out the shortage of resilience research and how to put forward the future research. Finally, it meets the needs of building resilient cities in the 14th Five-Year Plan, providing guidance and method reference for the follow-up researches of resilience."
From silk to concrete: exploring the socio-spatial aspects of the Agrarian question(s) in Mount Lebanon,2022,https://www.semanticscholar.org/paper/011eadcddcf0b176e9e716fe9b6ee15010c23eca,W. Thomson; Cynthia Gharios; R. Zurayk,"ABSTRACT Research on the Southwest Asia North Africa region often focuses on turbulent upheaval and landscape change in urban areas, and less on the rural and agrarian spaces left behind. In this paper, we look at the varying trajectory of landscape change in two neighboring villages in Mount Lebanon with similar geophysical characteristics but very different ecologies and economies. We show how these paths were mediated by capital flows and the changing modes of production and livelihoods. Looking through the lens of the Agrarian Question, we argue for its continued importance in understanding rural landscapes and their place in capitalist development."
"Ecology, economy and climate crisis in European urban and regional development",2024,https://www.semanticscholar.org/paper/011eaf67048aac59646e6b13c167b3c9b522ebd5,Nick Henry; Adrian Smith,
A comprehensive multi-state conditional occupancy model for evaluating interactions of non-native and native species,2023,https://www.semanticscholar.org/paper/0136064985918625fce953a973d2465833c77a7a,Patti J. Wohner; P. Scheerer; M. H. Meeuwig; James T. Peterson,"A major challenge in ecology is disentangling interactions of non-native, potentially invasive species on native species. Conditional two-species occupancy models examine the effects of dominant species (e.g., non-native) on subordinate species (e.g., native) while considering the possibility that occupancy of one species may affect occupancy and/ or detection of the other. Although conditional two-species models are useful for evaluating the influence of one species on presence of another, it is possible that species interactions are density dependent. Therefore, we developed a novel two-species occupancy model that incorporates multiple abundance states (i.e., absent, present, abundant) of the native species. We showcase the utility of this model with a case study that incorporates random effects and covariates on both occupancy and detection to help disentangle species interactions given varying occupancy and detection in different abundance states. We use snorkel survey data from the Umpqua basin, Oregon, where it is hypothesized that smallmouth bass Micropterus dolomieu, a non-native piscivore, exclude Umpqua chub Oregonichthys kalawatseti, a small endemic minnow. From our two-species multi-state (2SMS) model, we concluded that average occupancy was low for both fishes, and that when non-native bass were present, overall native chub occupancy in the present (0.18 ± 0.05 SD) and abundant (0.19 ± 0.03) states was higher than when non-natives were absent (0.14 ± 0.02/ 0.08 ± 0.02), indicating the non-native was not excluding the native species. By incorporating a species interaction factor, we found a positive association (6.75 ± 5.54 SD) between native chub and non-native bass. The covariates strongly related to occupancy were elevation, algae, and land cover type (urban and shrub). Detection probability for both species (0.21–0.82) was most strongly related to the covariates day of year, water temperature, gravel substrate, and stream order/ magnitude. Incorporation of detection probability and covariates enabled interpretation of interactions between the two species that may have been missed without their inclusion in the modeling process. Our new 2SMS occupancy model can be used by scientists and managers with a broad range of survey and covariate data to disentangle species interactions problems to help them inform management decisions."
Visual Analysis of Landscape Aesthetic Evaluation Based on Bibliometric Methods,2021,https://www.semanticscholar.org/paper/01517c961c3671c35fe18eeabd9809c4eadb8cb9,Qiang Wang; Mingyuan Zhao; Lan-yong Zhao,"In recent decades, landscape aesthetic evaluation has been one of the research hotspots in the field of Landscape Science and Ecology, and Landscape Science, Ecology and other related disciplines have been integrated at multiple levels in the research. In order to sort out and summarize the research process and results in the past decade, with a view to find future research trends, we retrieved and downloaded papers on landscape aesthetic evaluation from the WOS database and analyzed them using a bibliometric method based on mathematical statistics. We used Excel to perform a basic analysis of the growth trends in the number of articles, source journals and countries. Co-citation analysis, Cluster analysis, and Keyword co-occurrence analysis were performed with Citespace, and visual graphs were generated. Based on the combing of landscape aesthetic evaluation research, we analyzed and discussed the research frontier and its evolution, key literature and research hotspots, development trend and knowledge structure in this field, and conclude that: (1) the research in the field in recent decade can be divided into the period of theoretical foundation construction, research system improvement and diversified development, (2) Research methods have developed from mainly evaluating landscape photos to the comprehensive use of GIS, VR, Eye-tracking, EEG testing and other technological means, and (3) research hotspots have expanded from Ecology, Scenic beauty evaluation and Landscape management to Rural landscape, Urban public space and Land use, representing the future development trend."
Ecological Network Optimization in Urban Central District Based on Complex Network Theory: A Case Study with the Urban Central District of Harbin,2021,https://www.semanticscholar.org/paper/015b5fc1e1b85182d75b827c97e49b5cc1b4e55a,Shuang Song; Dawei Xu; Shanshan Hu; Mengxi Shi,"Habitat destruction and declining ecosystem service levels caused by urban expansion have led to increased ecological risks in cities, and ecological network optimization has become the main way to resolve this contradiction. Here, we used landscape patterns, meteorological and hydrological data as data sources, applied the complex network theory, landscape ecology, and spatial analysis technology, a quantitative analysis of the current state of landscape pattern characteristics in the central district of Harbin was conducted. The minimum cumulative resistance was used to extract the ecological network of the study area. Optimized the ecological network by edge-adding of the complex network theory, compared the optimizing effects of different edge-adding strategies by using robustness analysis, and put forward an effective way to optimize the ecological network of the study area. The results demonstrate that: The ecological patches of Daowai, Xiangfang, Nangang, and other old districts in the study area are small in size, fewer in number, strongly fragmented, with a single external morphology, and high internal porosity. While the ecological patches in the new districts of Songbei, Hulan, and Acheng have a relatively good foundation. And ecological network connectivity in the study area is generally poor, the ecological corridors are relatively sparse and scattered, the connections between various ecological sources of the corridors are not close. Comparing different edge-adding strategies of complex network theory, the low-degree-first strategy has the most outstanding performance in the robustness test. The low-degree-first strategy was used to optimize the ecological network of the study area, 43 ecological corridors are added. After the optimization, the large and the small ecological corridors are evenly distributed to form a complete network, the optimized ecological network will be significantly more connected, resilient, and resistant to interference, the ecological flow transmission will be more efficient."
"Introduction pages, Nova Geodesia 4(1), 2024",2024,https://www.semanticscholar.org/paper/01665a0d802a7fde3d10fac3dcd84ddc2fad02dc,Paul Sestraș,"Nova Geodesia (https://novageodesia.ro), Issue 1, Volume 4, 2024: The papers published in this issue represent interesting novelties in different topics of geodetic science or related fields. Nova Geodesia publishes significant papers in geodesy and close topics related to cartography, engineering projects and construction, planetology, hydrography, geography, sociodemographic factors, urban administration, planning and environment, landscape, biodiversity, and ecology. Among the exciting articles, we invite readers to find news about: Monitoring the evolution of a wetland pattern near Addis Ababa with the use of Landsat data (1986-2019); Effect of soil and water conservation practices and slope gradient on organic carbon stocks micronutrients: A case study on Kulkullessa sub-watershed, Eastern Ethiopia; The cross-disciplinary influence of aerial measurement techniques: Exploring archaeological studies through photogrammetry and LiDAR."
Livelihoods with multiple stressors: Gendered youth decision-making under global change in rural Northwest Mexico,2020,https://www.semanticscholar.org/paper/017172fb7f458ab7e6e51156ffbf59cb3c7cd8c7,S. Buechler; América N. Lutz-Ley,"Livelihoods in rural communities have become increasingly complex due to rapidly changing socio-economic and environmental forces, with differing impacts on and responses by female and male youth. This study contributes to feminist political ecology through an explicit focus on youth and an examination of the intersections of age and gender in educational choices, livelihood systems, and human–environment interactions. We undertake double exposures analysis to explore female and male youths’ livelihood-related decision-making in Rayón, a semi-arid rural community in Northwest Mexico, undergoing global environmental change and globalization-related shifts in agriculture, climate, water, and socio-economic conditions. Global environmental change exacerbates an already fragile, local ecological context. A focus on gender issues among youth in three age categories (14–15, 16–19, and youth in their 20s) with respect to their decision-making concerning the future is critical to gaining a better understanding of the roles women and men will play in linked agricultural and non-agricultural, rural to urban livelihood systems. Agricultural employment increasingly includes global agribusiness where local youth compete with people from other areas. Access to employment, education, as well as water and land resources varied by gender, age, and social class, and played significant roles in livelihood diversification and migration decisions and outcomes. Mothers’ access to government assistance for their natural resource-based livelihoods positively impacted daughters’ opportunities. Educational curricula failed to link environmental change with local livelihoods and to prepare students for urban careers. This study offers insights related to female and male youths’ needs associated with environmental education, technology access, job training, and child and sibling care in order for them to more successfully confront the future across village, town, and city spaces."
